"Year","Month","Day","Time","Lattitude","Longitude","Status","Storm_Category","Wind_Speed","Pressure","Diameter_of_Tropical_Storm","Force_of_Hurricane","Rain_Level"
1975,6,27,0,27.5,-79,"tropical depression",NA,25,1013,NA,NA,40.7804705360163
1975,6,27,6,28.5,-79,"tropical depression",NA,25,1013,NA,NA,38.4703658570109
1975,6,27,12,29.5,-79,"tropical depression",NA,25,1013,NA,NA,39.6498931871703
1975,6,27,18,30.5,-79,"tropical depression",NA,25,1013,NA,NA,43.3412632211941
1975,6,28,0,31.5,-78.8,"tropical depression",NA,25,1012,NA,NA,44.0927865168971
1975,6,28,6,32.4,-78.7,"tropical depression",NA,25,1012,NA,NA,37.9917327642885
1975,6,28,12,33.3,-78,"tropical depression",NA,25,1011,NA,NA,40.6975817035318
1975,6,28,18,34,-77,"tropical depression",NA,30,1006,NA,NA,36.3470509514414
1975,6,29,0,34.4,-75.8,"tropical storm",NA,35,1004,NA,NA,29.0991640042914
1975,6,29,6,34,-74.8,"tropical storm",NA,40,1002,NA,NA,28.5302474346482
1975,6,29,12,33.8,-73.8,"tropical storm",NA,45,1000,NA,NA,23.5889001625512
1975,6,29,18,33.8,-72.8,"tropical storm",NA,50,998,NA,NA,21.5170384712533
1975,6,30,0,34.3,-71.6,"tropical storm",NA,50,998,NA,NA,21.2797536685475
1975,6,30,6,35.6,-70.8,"tropical storm",NA,55,998,NA,NA,19.6221951439261
1975,6,30,12,35.9,-70.5,"tropical storm",NA,60,987,NA,NA,15.4774740523589
1975,6,30,18,36.2,-70.2,"tropical storm",NA,60,987,NA,NA,16.7821131566813
1975,7,1,0,36.2,-69.8,"tropical storm",NA,60,984,NA,NA,18.6390471142986
1975,7,1,6,36.2,-69.4,"tropical storm",NA,60,984,NA,NA,19.2138124859703
1975,7,1,12,36.2,-68.3,"tropical storm",NA,60,984,NA,NA,15.791283768329
1975,7,1,18,36.7,-67.2,"tropical storm",NA,60,984,NA,NA,18.5518513378265
1975,7,2,0,37.4,-66.7,"tropical storm",NA,60,984,NA,NA,16.0592102595435
1975,7,2,6,37.3,-65.9,"tropical storm",NA,60,984,NA,NA,13.8531598281611
1975,7,2,12,37.3,-65.1,"tropical storm",NA,60,981,NA,NA,15.9875115109749
1975,7,2,18,37.3,-64.1,"tropical storm",NA,60,986,NA,NA,15.1661367828747
1975,7,3,0,37.7,-62.8,"tropical storm",NA,55,986,NA,NA,18.5905117192776
1975,7,3,6,38.2,-61.2,"tropical storm",NA,55,986,NA,NA,18.4073810683087
1975,7,3,12,39.3,-59.6,"tropical storm",NA,55,986,NA,NA,14.9113133060266
1975,7,3,18,40.5,-58,"tropical storm",NA,50,986,NA,NA,20.4969484575372
1975,7,4,0,42.5,-54.8,"tropical storm",NA,50,986,NA,NA,18.7691232389191
1975,7,4,6,44.5,-51.6,"tropical storm",NA,50,986,NA,NA,20.2398968920372
1975,7,4,12,47,-48,"extratropical",NA,45,995,NA,NA,19.5375581433114
1975,7,24,0,26,-68.4,"tropical depression",NA,20,1014,NA,NA,50.0115206323426
1975,7,24,6,26,-69.5,"tropical depression",NA,20,1014,NA,NA,48.5299864919737
1975,7,24,12,26.1,-70.5,"tropical depression",NA,25,1014,NA,NA,38.9520394983072
1975,7,24,18,26.5,-71.5,"tropical depression",NA,30,1013,NA,NA,32.6196946384641
1975,7,25,0,27.2,-72.5,"tropical depression",NA,30,1012,NA,NA,31.0282105619921
1975,7,25,6,28,-73.6,"tropical depression",NA,30,1010,NA,NA,32.0869646000245
1975,7,25,12,28.9,-74.3,"tropical depression",NA,30,1007,NA,NA,33.7246171912477
1975,7,25,18,29.9,-74.9,"tropical depression",NA,30,1006,NA,NA,35.9350653680582
1975,7,26,0,31,-75,"tropical depression",NA,30,1005,NA,NA,32.6179942785952
1975,7,26,6,32.2,-74.6,"tropical storm",NA,35,1004,NA,NA,23.4295635640967
1975,7,26,12,33.4,-73.5,"tropical storm",NA,35,1003,NA,NA,32.4456842645275
1975,7,26,18,34.2,-72.2,"tropical storm",NA,50,998,NA,NA,18.2648755018879
1975,7,27,0,35,-71,"tropical storm",NA,60,992,NA,NA,18.4319067898046
1975,7,27,6,35.9,-70,"hurricane",1,65,987,NA,NA,13.7872814039428
1975,7,27,12,36.9,-69,"hurricane",1,70,984,NA,NA,13.7666668077032
1975,7,27,18,37.9,-68,"hurricane",1,75,981,NA,NA,8.84433517911843
1975,7,28,0,39.3,-67.2,"hurricane",1,75,980,NA,NA,11.2552552132821
1975,7,28,6,41.2,-66.4,"hurricane",1,70,980,NA,NA,15.80206504042
1975,7,28,12,44,-65.2,"extratropical",NA,60,988,NA,NA,18.4008741579755
1975,7,28,18,47.2,-62.4,"extratropical",NA,60,992,NA,NA,16.0703963397215
1975,8,24,12,22.4,-69.8,"tropical depression",NA,25,1011,NA,NA,39.9987302648596
1975,8,24,18,21.9,-71.1,"tropical depression",NA,25,1011,NA,NA,39.842019077772
1975,8,25,0,21.6,-72.5,"tropical depression",NA,25,1010,NA,NA,40.1065180759104
1975,8,25,6,21.2,-73.8,"tropical depression",NA,25,1010,NA,NA,39.1932232339546
1975,8,25,12,20.9,-75.1,"tropical depression",NA,25,1011,NA,NA,41.436259427165
1975,8,25,18,20.6,-76.4,"tropical depression",NA,25,1011,NA,NA,38.0787292091488
1975,8,26,0,20.4,-77.7,"tropical depression",NA,25,1011,NA,NA,39.673351063781
1975,8,26,6,20.3,-79,"tropical depression",NA,25,1011,NA,NA,39.1940843244882
1975,8,26,12,20.2,-80.3,"tropical depression",NA,25,1012,NA,NA,42.4616559596333
1975,8,26,18,20.2,-81.6,"tropical depression",NA,25,1012,NA,NA,44.1341059495377
1975,8,27,0,20.4,-82.8,"tropical depression",NA,25,1013,NA,NA,39.186213186087
1975,8,27,6,20.8,-84,"tropical depression",NA,25,1013,NA,NA,39.7957085167608
1975,8,27,12,21.1,-85.1,"tropical depression",NA,25,1014,NA,NA,39.3990461508157
1975,8,27,18,21.5,-86.3,"tropical depression",NA,25,1014,NA,NA,37.0304992225311
1975,8,28,0,22,-87.5,"tropical depression",NA,25,1014,NA,NA,42.0894177500793
1975,8,28,6,22.4,-88.8,"tropical depression",NA,25,1014,NA,NA,41.1776479013368
1975,8,28,12,22.8,-90.1,"tropical depression",NA,25,1013,NA,NA,40.2999216896597
1975,8,28,18,22.9,-91,"tropical depression",NA,25,1010,NA,NA,38.4737140867084
1975,8,29,0,23,-91.9,"tropical depression",NA,30,1007,NA,NA,34.0981769314665
1975,8,29,6,23.1,-92.6,"tropical storm",NA,35,1003,NA,NA,28.0376602489117
1975,8,29,12,23.2,-93.2,"tropical storm",NA,40,999,NA,NA,24.6738221723398
1975,8,29,18,23.2,-93.6,"tropical storm",NA,50,994,NA,NA,22.4684283994203
1975,8,30,0,23.3,-94.2,"hurricane",1,65,990,NA,NA,15.0589167765826
1975,8,30,6,23.5,-94.9,"hurricane",1,65,990,NA,NA,16.2311526669636
1975,8,30,12,23.7,-95.6,"hurricane",1,65,989,NA,NA,14.3024554255914
